session_id,user_id,group,session_start,session_length,watched,watch_completion,clicks_before_watch,device_type,content_type,genre,time_of_day,bounce_reason
1,849,B,2024-02-17 17:00:00,13.8,1,0,2,TV,Movie,Action,Evening,
2,912,A,2024-01-04 06:00:00,6.38,1,0,5,Mobile,Series,Horror,Morning,
3,72,A,2024-02-26 05:00:00,12.93,1,0,3,Laptop,Movie,Horror,Morning,
4,206,B,2024-03-09 19:00:00,13.12,1,0,0,Laptop,Movie,Sci-Fi,Evening,
5,345,A,2024-02-18 19:00:00,13.63,0,0,1,Mobile,Movie,Thriller,Evening,Playback Error
6,717,A,2024-01-23 13:00:00,10.77,0,0,2,Mobile,Series,Comedy,Afternoon,Playback Error
7,776,A,2024-01-30 06:00:00,11.72,0,0,2,Mobile,Series,Action,Morning,UI Confusion
8,608,B,2024-02-09 18:00:00,17.56,1,1,0,Mobile,Movie,Action,Evening,
9,628,A,2024-02-23 14:00:00,9.4,1,1,0,Laptop,Series,Action,Afternoon,
10,1,B,2024-03-18 07:00:00,14.01,0,0,1,Mobile,Movie,Sci-Fi,Morning,Playback Error
11,667,B,2024-02-09 22:00:00,21.65,1,1,0,Laptop,Movie,Sci-Fi,Night,
12,568,B,2024-03-28 16:00:00,17.46,1,0,2,Mobile,Movie,Comedy,Afternoon,
13,149,A,2024-03-08 21:00:00,12.48,0,0,2,Mobile,Series,Sci-Fi,Night,No Interest
14,177,A,2024-02-25 00:00:00,10.4,0,0,3,Mobile,Movie,Thriller,Morning,No Interest
15,210,B,2024-01-31 23:00:00,12.13,1,1,1,Mobile,Series,Drama,Night,
16,375,B,2024-03-13 19:00:00,9.38,1,1,0,Mobile,Series,Thriller,Evening,
17,960,B,2024-02-22 11:00:00,16.26,1,1,0,Mobile,Series,Action,Morning,
18,282,A,2024-01-21 19:00:00,14.8,1,1,4,Mobile,Series,Comedy,Evening,
19,433,B,2024-01-25 20:00:00,14.92,0,0,1,Mobile,Series,Horror,Evening,Playback Error
20,889,B,2024-03-26 07:00:00,20.85,1,1,2,TV,Series,Comedy,Morning,
21,663,B,2024-02-25 12:00:00,15.87,1,1,0,Laptop,Movie,Sci-Fi,Afternoon,
22,870,A,2024-03-12 21:00:00,14.03,0,0,5,TV,Movie,Comedy,Night,Playback Error
23,890,B,2024-02-24 21:00:00,6.37,1,1,0,Mobile,Series,Action,Night,
24,552,A,2024-02-16 16:00:00,8.56,1,0,4,Mobile,Series,Horror,Afternoon,
25,529,B,2024-01-27 12:00:00,13.73,0,0,2,Mobile,Movie,Horror,Afternoon,UI Confusion
26,415,A,2024-01-23 01:00:00,8.59,0,0,0,Laptop,Series,Action,Morning,No Interest
27,815,A,2024-03-03 10:00:00,15.06,0,0,4,Mobile,Movie,Comedy,Morning,Preview Too Short
28,419,A,2024-03-11 10:00:00,7.04,1,0,2,Mobile,Movie,Action,Morning,
29,50,A,2024-03-20 15:00:00,21.33,1,1,1,Mobile,Series,Comedy,Afternoon,
30,190,B,2024-02-14 01:00:00,21.82,1,0,2,Mobile,Movie,Action,Morning,
31,776,A,2024-02-12 12:00:00,17.48,1,1,3,Mobile,Series,Thriller,Afternoon,
32,663,A,2024-01-18 14:00:00,17.72,0,0,2,TV,Series,Thriller,Afternoon,Playback Error
33,890,B,2024-02-01 21:00:00,15.35,1,1,4,Mobile,Movie,Sci-Fi,Night,
34,504,B,2024-03-16 22:00:00,13.0,1,0,2,TV,Movie,Drama,Night,
35,270,A,2024-03-14 13:00:00,11.21,1,0,3,Laptop,Movie,Action,Afternoon,
36,490,A,2024-01-10 02:00:00,15.8,1,0,1,Mobile,Series,Thriller,Morning,
37,459,A,2024-03-15 15:00:00,7.69,1,1,1,Mobile,Series,Horror,Afternoon,
38,241,A,2024-03-16 12:00:00,8.42,1,0,1,TV,Movie,Thriller,Afternoon,
39,900,A,2024-01-12 12:00:00,12.23,0,0,2,Mobile,Movie,Drama,Afternoon,No Interest
40,555,A,2024-01-28 21:00:00,9.14,0,0,1,Mobile,Series,Drama,Night,UI Confusion
41,175,B,2024-01-21 04:00:00,18.85,1,0,4,Laptop,Movie,Thriller,Morning,
42,27,A,2024-03-09 21:00:00,6.99,0,0,1,Mobile,Series,Thriller,Night,Playback Error
43,30,A,2024-01-19 05:00:00,9.51,0,0,2,Mobile,Movie,Comedy,Morning,No Interest
44,116,A,2024-03-15 04:00:00,14.98,1,0,1,Mobile,Movie,Horror,Morning,
45,278,B,2024-02-26 20:00:00,14.98,0,0,0,Mobile,Movie,Comedy,Evening,UI Confusion
46,415,A,2024-02-08 20:00:00,5.0,1,1,2,Laptop,Series,Horror,Evening,
47,927,A,2024-02-16 20:00:00,14.22,0,0,1,Mobile,Series,Action,Evening,No Interest
48,711,B,2024-03-15 12:00:00,23.72,1,1,0,Mobile,Series,Comedy,Afternoon,
49,195,B,2024-03-20 12:00:00,16.73,0,0,1,Laptop,Movie,Sci-Fi,Afternoon,No Interest
50,185,B,2024-03-16 08:00:00,13.78,1,0,1,Laptop,Series,Action,Morning,
51,522,B,2024-01-15 11:00:00,20.12,1,1,3,TV,Series,Sci-Fi,Morning,
52,613,B,2024-01-18 23:00:00,13.62,0,0,0,Mobile,Series,Horror,Night,No Interest
53,674,B,2024-02-07 02:00:00,17.52,1,0,2,TV,Series,Thriller,Morning,
54,663,B,2024-01-12 15:00:00,16.81,1,0,2,Mobile,Series,Horror,Afternoon,
55,337,A,2024-03-18 14:00:00,12.81,1,0,3,TV,Movie,Comedy,Afternoon,
56,43,A,2024-03-24 02:00:00,11.04,0,0,2,Mobile,Series,Sci-Fi,Morning,UI Confusion
57,201,A,2024-03-27 10:00:00,5.0,0,0,2,Mobile,Series,Drama,Morning,Preview Too Short
58,566,B,2024-02-27 20:00:00,17.51,1,0,0,TV,Movie,Action,Evening,
59,111,A,2024-03-16 19:00:00,7.39,1,1,0,Laptop,Movie,Sci-Fi,Evening,
60,621,B,2024-02-21 14:00:00,18.55,1,1,3,Mobile,Series,Drama,Afternoon,
61,949,A,2024-01-12 14:00:00,11.78,1,0,2,Mobile,Movie,Comedy,Afternoon,
62,991,A,2024-02-15 19:00:00,8.07,0,0,2,Mobile,Series,Horror,Evening,No Interest
63,369,B,2024-03-01 03:00:00,14.15,0,0,0,TV,Movie,Comedy,Morning,UI Confusion
64,908,B,2024-02-18 06:00:00,15.64,1,0,6,TV,Series,Comedy,Morning,
65,366,B,2024-02-05 13:00:00,11.92,1,1,2,Mobile,Movie,Action,Afternoon,
66,334,A,2024-02-20 05:00:00,10.64,1,1,2,Mobile,Series,Action,Morning,
67,618,A,2024-02-19 05:00:00,9.9,1,0,4,Mobile,Movie,Sci-Fi,Morning,
68,987,B,2024-01-04 00:00:00,14.71,1,0,1,Laptop,Series,Thriller,Morning,
69,71,B,2024-01-18 15:00:00,12.68,1,0,1,Laptop,Series,Horror,Afternoon,
70,355,A,2024-01-30 21:00:00,9.94,1,0,2,Mobile,Movie,Drama,Night,
71,203,B,2024-01-06 05:00:00,11.17,1,1,1,TV,Movie,Thriller,Morning,
72,44,B,2024-01-12 21:00:00,17.59,1,1,2,TV,Series,Sci-Fi,Night,
73,862,A,2024-01-07 10:00:00,13.44,0,0,2,Mobile,Series,Comedy,Morning,No Interest
74,748,B,2024-03-22 03:00:00,8.11,0,0,1,TV,Series,Comedy,Morning,UI Confusion
75,98,A,2024-02-08 18:00:00,5.0,0,0,0,Mobile,Movie,Horror,Evening,Preview Too Short
76,433,A,2024-01-03 18:00:00,5.96,0,0,4,Mobile,Series,Sci-Fi,Evening,No Interest
77,348,A,2024-02-14 07:00:00,13.14,1,0,3,Mobile,Movie,Comedy,Morning,
